rowid,rec_url,rec_compiledRelease_ocid,rec_compiledRelease_date,rec_compiledRelease_tender_id,rec_compiledRelease_tender_title,rec_compiledRelease_tender_procuringEntity_name,rec_compiledRelease_tender_mainProcurementCategoryDetails,rec_compiledRelease_tender_statusDetails,rec_compiledRelease_tender_procuringEntity_id,rec_compiledRelease_tender_procurementMethodDetails,rec_compiledRelease_tender_id_tenderPeriod_durationInDays,rec_compiledRelease_tender_id_tenderPeriod_startDate,rec_compiledRelease_tender_id_tenderPeriod_endDate,recrel_url,recrel_id,recrel_tender_id,recrel_tender_statusDetails,recrel_tender_awardCriteria,recrel_tender_awardCriteriaDetails,recrel_tender_mainProcurementCategory,recrel_tender_mainProcurementCategoryDetails,recrel_tender_additionalProcurementCategories,recrel_tender_hasEnquiries,recrel_tender_value_amount,recrel_tender_value_currency,recrel_tender_awardPeriod_startDate,recrel_tender_procuringEntity_id,recrel_tender_procuringEntity_name
0,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-389807-1,2021-04-07T14:30:08-04:00,389807-adquisicion-cabinas-seguridad-tipo-iia-laboratorio-central-salud-publica-contingenci-1,ADQUISICION DE CABINAS DE SEGURIDAD TIPO IIA PARA EL LABORATORIO CENTRAL DE SALUD PUBLICA PARA CONTINGENCIA COVID19,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",En Evaluacion (Cerrada),DNCP-SICP-CODE-306,389807-adquisicion-cabinas-seguridad-tipo-iia-laboratorio-central-salud-publica-contingenci-1,,,,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/389807-adquisicion-cabinas-seguridad-tipo-iia-laboratorio-central-salud-publica-contingenci-1-1617805808.2196,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/389807-adquisicion-cabinas-seguridad-tipo-iia-laboratorio-central-salud-publica-contingenci-1-1617805808.2196,389807-adquisicion-cabinas-seguridad-tipo-iia-laboratorio-central-salud-publica-contingenci-1,En Evaluacion (Cerrada),priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,523590750,PYG,2021-04-07T09:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
1,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-387338-1,2021-04-07T08:51:26-04:00,387338-adquisicion-equipamientos-lavanderia-fortalecimiento-servicios-salud-msp-bs-covid19-1,ADQUISICION DE EQUIPAMIENTOS DE LAVANDERÍA PARA FORTALECIMIENTO DE LOS SERVICIOS DE SALUD DEL MSP Y BS -COVID19,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",En Convocatoria (Abierta),DNCP-SICP-CODE-306,387338-adquisicion-equipamientos-lavanderia-fortalecimiento-servicios-salud-msp-bs-covid19-1,1.0,2021-04-15T08:00:00-04:00,2021-04-16T08:00:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/387338-adquisicion-equipamientos-lavanderia-fortalecimiento-servicios-salud-msp-bs-covid19-1-1617785486.25705,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/387338-adquisicion-equipamientos-lavanderia-fortalecimiento-servicios-salud-msp-bs-covid19-1-1617785486.25705,387338-adquisicion-equipamientos-lavanderia-fortalecimiento-servicios-salud-msp-bs-covid19-1,En Convocatoria (Abierta),priceOnly,Por Item,goods,"Bienes - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",,True,12080233661,PYG,2021-04-19T09:30:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
2,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-386041-1,2021-04-06T16:58:34-04:00,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-1,ADQUISICION DE TUBOS ENDOTRAQUEALES SIN BALON PARA CONTINGENCIA COVID-19,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",Desierta,DNCP-SICP-CODE-306,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-1,12.0,2020-11-05T10:41:44-04:00,2020-11-17T10:50:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-1-1617728314.26172,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-1-1617728314.26172,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-1,Desierta,priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,False,78941100,PYG,2020-11-17T11:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
3,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-386041-2,2021-04-06T16:58:34-04:00,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-3,ADQUISICION DE TUBOS ENDOTRAQUEALES SIN BALON PARA CONTINGENCIA COVID-19,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",En Convocatoria (Abierta),DNCP-SICP-CODE-306,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-3,17.0,2021-03-22T10:27:00-04:00,2021-04-09T09:50:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-3-1617728314.26172,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-3-1617728314.26172,386041-adquisicion-tubos-endotraqueales-balon-contingencia-covid-19-3,En Convocatoria (Abierta),priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,78941100,PYG,2021-04-09T10:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
4,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-396636-1,2021-04-06T15:36:31-04:00,396636-adquisicion-medicamentos-tratamiento-covid-19-1,ADQUISICIÓN MEDICAMENTOS PARA EL TRATAMIENTO COVID-19,Policia Nacional / Ministerio del Interior,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",En Convocatoria (Abierta),DNCP-SICP-CODE-1050,396636-adquisicion-medicamentos-tratamiento-covid-19-1,1.0,2021-04-20T08:00:00-04:00,2021-04-21T08:00:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/396636-adquisicion-medicamentos-tratamiento-covid-19-1-1617723391.20901,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/396636-adquisicion-medicamentos-tratamiento-covid-19-1-1617723391.20901,396636-adquisicion-medicamentos-tratamiento-covid-19-1,En Convocatoria (Abierta),priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,857801220,PYG,2021-04-23T09:10:00-04:00,DNCP-SICP-CODE-1050,Policia Nacional / Ministerio del Interior
5,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-395990-1,2021-04-06T13:17:29-04:00,395990-contratacion-servicio-despacho-aduanero-programa-ampliado-inmunizaciones-covid-19-1,CONTRATACION DE SERVICIO DE DESPACHO ADUANERO PARA EL PROGRAMA AMPLIADO DE INMUNIZACIONES-COVID-19,Ministerio de Salud Pública y Bienestar Social (MSPBS),Servicios - Servicios Técnicos,En Convocatoria (Abierta),DNCP-SICP-CODE-306,395990-contratacion-servicio-despacho-aduanero-programa-ampliado-inmunizaciones-covid-19-1,,,,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/395990-contratacion-servicio-despacho-aduanero-programa-ampliado-inmunizaciones-covid-19-1-1617715049.15091,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/395990-contratacion-servicio-despacho-aduanero-programa-ampliado-inmunizaciones-covid-19-1-1617715049.15091,395990-contratacion-servicio-despacho-aduanero-programa-ampliado-inmunizaciones-covid-19-1,En Convocatoria (Abierta),priceOnly,Por Item,services,Servicios - Servicios Técnicos,,True,1500000000,PYG,2021-04-12T09:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
6,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-384610-1,2021-04-06T08:07:47-04:00,384610-cve-sbe-82-20-adquisicion-urgencia-impostergable-bolsas-mortuorias-1,CVE SBE 82-20 ADQUISICION POR URGENCIA IMPOSTERGABLE DE BOLSAS MORTUORIAS,Instituto de Previsión Social (IPS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",En Convocatoria (Abierta),DNCP-SICP-CODE-157,384610-cve-sbe-82-20-adquisicion-urgencia-impostergable-bolsas-mortuorias-1,1.0,2021-04-15T08:00:00-04:00,2021-04-16T08:00:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/384610-cve-sbe-82-20-adquisicion-urgencia-impostergable-bolsas-mortuorias-1-1617696467,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/384610-cve-sbe-82-20-adquisicion-urgencia-impostergable-bolsas-mortuorias-1-1617696467,384610-cve-sbe-82-20-adquisicion-urgencia-impostergable-bolsas-mortuorias-1,En Convocatoria (Abierta),priceOnly,Por Total,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,283800000,PYG,2021-04-19T09:00:00-04:00,DNCP-SICP-CODE-157,Instituto de Previsión Social (IPS)
7,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-384825-1,2021-03-31T17:36:15-04:00,384825-adquisicion-kit-plasmaferesis-pacientes-convalecientes-covid-19-mspybs-1,ADQUISICION DE KIT PARA PLASMAFERESIS EN PACIENTES CONVALECIENTES DE COVID-19-MSPYBS,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",Adjudicada,DNCP-SICP-CODE-306,384825-adquisicion-kit-plasmaferesis-pacientes-convalecientes-covid-19-mspybs-1,1.0,2020-10-14T08:00:00-04:00,2020-10-15T08:00:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/384825-adquisicion-kit-plasmaferesis-pacientes-convalecientes-covid-19-mspybs-1-1617212175,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/384825-adquisicion-kit-plasmaferesis-pacientes-convalecientes-covid-19-mspybs-1-1617212175,384825-adquisicion-kit-plasmaferesis-pacientes-convalecientes-covid-19-mspybs-1,Adjudicada,priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,1606250000,PYG,2020-10-16T09:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
8,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-388906-1,2021-03-28T11:54:21-04:00,388906-adquisicion-camara-frigorifica-almacenamiento-vacunas-destinadas-pai-mspbs-1,ADQUISICION DE CAMARA FRIGORIFICA PARA ALMACENAMIENTO DE VACUNAS DESTINADAS AL PAI - MSPBS,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",En Convocatoria (Abierta),DNCP-SICP-CODE-306,388906-adquisicion-camara-frigorifica-almacenamiento-vacunas-destinadas-pai-mspbs-1,23.0,2021-03-15T22:44:54-04:00,2021-04-08T08:50:00-04:00,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/388906-adquisicion-camara-frigorifica-almacenamiento-vacunas-destinadas-pai-mspbs-1-1616932461,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/388906-adquisicion-camara-frigorifica-almacenamiento-vacunas-destinadas-pai-mspbs-1-1616932461,388906-adquisicion-camara-frigorifica-almacenamiento-vacunas-destinadas-pai-mspbs-1,En Convocatoria (Abierta),priceOnly,Por Total,goods,"Bienes - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",,False,453533333,PYG,2021-04-08T09:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
9,https://contrataciones.gov.py/datos/api/v3/doc/search/processes?tender.procurementMethodRationale=covid-19&page=1&items_per_page=1000,ocds-03ad3f-383613-1,2021-03-26T12:58:48-04:00,383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1,ADQUISICION DE MEDIO DE TRANSPORTE VIRAL COVID - 19 PARA EL MSPBS,Ministerio de Salud Pública y Bienestar Social (MSPBS),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",Adjudicada,DNCP-SICP-CODE-306,383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1,,,,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1-1616763528.97356,https://www.contrataciones.gov.py/datos/api/v3/doc/ocds/releases/id/383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1-1616763528.97356,383613-adquisicion-medio-transporte-viral-covid-19-mspbs-1,Adjudicada,priceOnly,Por Item,goods,"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",services,True,7502120000,PYG,2020-07-15T15:00:00-04:00,DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS)
